rank,name,sales,price_range,month,type,scraped_at
1,比亚迪,164971,10.84%,202605,brand,2026-06-14T00:00:00
2,大众,97447,6.40%,202605,brand,2026-06-14T00:00:00
3,丰田,90008,5.91%,202605,brand,2026-06-14T00:00:00
4,吉利银河,71553,4.70%,202605,brand,2026-06-14T00:00:00
5,五菱汽车,62081,4.08%,202605,brand,2026-06-14T00:00:00
6,零跑汽车,61401,4.03%,202605,brand,2026-06-14T00:00:00
7,吉利汽车,54551,3.58%,202605,brand,2026-06-14T00:00:00
8,特斯拉,47281,3.11%,202605,brand,2026-06-14T00:00:00
9,鸿蒙智行,46124,3.03%,202605,brand,2026-06-14T00:00:00
10,奥迪,33780,2.22%,202605,brand,2026-06-14T00:00:00
11,理想,33350,2.19%,202605,brand,2026-06-14T00:00:00
12,小米汽车,32759,2.15%,202605,brand,2026-06-14T00:00:00
13,宝马,32643,2.14%,202605,brand,2026-06-14T00:00:00
14,奇瑞,31738,2.08%,202605,brand,2026-06-14T00:00:00
15,长安,30929,2.03%,202605,brand,2026-06-14T00:00:00
16,日产,30025,1.97%,202605,brand,2026-06-14T00:00:00
17,长安启源,29754,1.95%,202605,brand,2026-06-14T00:00:00
18,本田,28121,1.85%,202605,brand,2026-06-14T00:00:00
19,极氪,27599,1.81%,202605,brand,2026-06-14T00:00:00
20,别克,27498,1.81%,202605,brand,2026-06-14T00:00:00
21,方程豹,26361,1.73%,202605,brand,2026-06-14T00:00:00
22,奔驰,25699,1.69%,202605,brand,2026-06-14T00:00:00
23,小鹏汽车,25655,1.69%,202605,brand,2026-06-14T00:00:00
24,广汽埃安,24438,1.61%,202605,brand,2026-06-14T00:00:00
25,深蓝汽车,23589,1.55%,202605,brand,2026-06-14T00:00:00
26,红旗,23269,1.53%,202605,brand,2026-06-14T00:00:00
27,蔚来,19989,1.31%,202605,brand,2026-06-14T00:00:00
28,哈弗,18963,1.25%,202605,brand,2026-06-14T00:00:00
29,ARCFOX极狐,17654,1.16%,202605,brand,2026-06-14T00:00:00
30,名爵,17570,1.15%,202605,brand,2026-06-14T00:00:00
