rank,name,sales,price_range,month,type,scraped_at
1,星愿,38751,6.48-9.48万,202605,style,2026-06-14T00:00:00
2,Model Y,28911,26.35-31.35万,202605,style,2026-06-14T00:00:00
3,小米SU7,24023,21.99-30.39万,202605,style,2026-06-14T00:00:00
4,零跑A10,22306,6.58-8.68万,202605,style,2026-06-14T00:00:00
5,理想i6,20878,24.98-26.98万,202605,style,2026-06-14T00:00:00
6,海狮06,18856,12.99-19.98万,202605,style,2026-06-14T00:00:00
7,Model 3,18370,23.55-33.95万,202605,style,2026-06-14T00:00:00
8,宏光MINIEV,18308,3.58-5.58万,202605,style,2026-06-14T00:00:00
9,问界M6,18148,25.98-29.98万,202605,style,2026-06-14T00:00:00
10,钛7,17510,17.98-23.98万,202605,style,2026-06-14T00:00:00
11,元UP,17043,7.48-11.98万,202605,style,2026-06-14T00:00:00
12,长安启源Q05,15954,7.99-11.49万,202605,style,2026-06-14T00:00:00
13,宋Pro新能源,15497,10.28-13.38万,202605,style,2026-06-14T00:00:00
14,MG4,15067,6.88-10.28万,202605,style,2026-06-14T00:00:00
15,小鹏MONA M03,14160,11.98-15.18万,202605,style,2026-06-14T00:00:00
16,缤果Pro,13657,5.68-7.08万,202605,style,2026-06-14T00:00:00
17,博越L,13395,9.99-14.97万,202605,style,2026-06-14T00:00:00
18,朗逸,13033,8.00-15.19万,202605,style,2026-06-14T00:00:00
19,秦PLUS,12971,7.98-17.98万,202605,style,2026-06-14T00:00:00
20,轩逸,12936,7.99-17.49万,202605,style,2026-06-14T00:00:00
21,缤越,12841,6.68-9.78万,202605,style,2026-06-14T00:00:00
22,海豚,12819,9.98-12.98万,202605,style,2026-06-14T00:00:00
23,途观L,12503,18.68-26.68万,202605,style,2026-06-14T00:00:00
24,凯美瑞,12237,17.18-25.98万,202605,style,2026-06-14T00:00:00
25,迈腾,12170,17.49-24.69万,202605,style,2026-06-14T00:00:00
26,蔚来ES8,11472,40.68-59.80万,202605,style,2026-06-14T00:00:00
27,探岳,11425,19.89-25.99万,202605,style,2026-06-14T00:00:00
28,星越L,11099,13.97-17.97万,202605,style,2026-06-14T00:00:00
29,本田CR-V,10744,18.59-24.99万,202605,style,2026-06-14T00:00:00
30,帕萨特,10727,16.45-30.98万,202605,style,2026-06-14T00:00:00
31,锋兰达,10725,12.88-18.48万,202605,style,2026-06-14T00:00:00
32,深蓝S05,10594,11.69-14.99万,202605,style,2026-06-14T00:00:00
33,长安CS75PLUS,10103,10.89-14.39万,202605,style,2026-06-14T00:00:00
34,秦L,10019,9.68-15.38万,202605,style,2026-06-14T00:00:00
35,宋Ultra,9961,12.99-17.99万,202605,style,2026-06-14T00:00:00
36,RAV4荣放,9857,16.98-23.88万,202605,style,2026-06-14T00:00:00
37,海鸥,9822,6.98-8.59万,202605,style,2026-06-14T00:00:00
38,宝马3系,9754,25.80-39.99万,202605,style,2026-06-14T00:00:00
39,速腾,9554,9.38-16.49万,202605,style,2026-06-14T00:00:00
40,AION i60,9471,10.28-13.58万,202605,style,2026-06-14T00:00:00
41,问界M7,9199,24.98-38.98万,202605,style,2026-06-14T00:00:00
42,极氪9X,9058,46.59-59.99万,202605,style,2026-06-14T00:00:00
43,奔驰E级,8928,37.88-59.98万,202605,style,2026-06-14T00:00:00
44,小米YU7,8736,23.35-38.99万,202605,style,2026-06-14T00:00:00
45,奥迪A6L,8709,32.29-55.89万,202605,style,2026-06-14T00:00:00
46,星瑞,8592,9.87-14.67万,202605,style,2026-06-14T00:00:00
47,QQ3 EV,8523,5.89-7.89万,202605,style,2026-06-14T00:00:00
48,海豹06,8415,9.68-13.98万,202605,style,2026-06-14T00:00:00
49,威兰达,8056,16.98-26.48万,202605,style,2026-06-14T00:00:00
50,哈弗大狗,7886,12.39-14.99万,202605,style,2026-06-14T00:00:00
