rank,name,sales,month,type,scraped_at
1,星愿,38751,202606,ev,2026-06-14T05:48:19.924599
2,Model Y,28911,202606,ev,2026-06-14T05:48:19.924611
3,小米SU7,24023,202606,ev,2026-06-14T05:48:19.924613
4,零跑A10,22306,202606,ev,2026-06-14T05:48:19.924618
5,理想i6,20878,202606,ev,2026-06-14T05:48:19.924619
6,海狮06,18856,202606,ev,2026-06-14T05:48:19.924620
7,Model 3,18370,202606,ev,2026-06-14T05:48:19.924621
8,宏光MINIEV,18308,202606,ev,2026-06-14T05:48:19.924622
9,问界M6,18148,202606,ev,2026-06-14T05:48:19.924623
10,钛7,17510,202606,ev,2026-06-14T05:48:19.924624
11,元UP,17043,202606,ev,2026-06-14T05:48:19.924625
12,长安启源Q05,15954,202606,ev,2026-06-14T05:48:19.924626
13,宋Pro新能源,15497,202606,ev,2026-06-14T05:48:19.924627
14,MG4,15067,202606,ev,2026-06-14T05:48:19.924628
15,小鹏MONA M03,14160,202606,ev,2026-06-14T05:48:19.924629
16,缤果Pro,13657,202606,ev,2026-06-14T05:48:19.924630
17,秦PLUS,12971,202606,ev,2026-06-14T05:48:19.924631
18,海豚,12819,202606,ev,2026-06-14T05:48:19.924633
19,蔚来ES8,11472,202606,ev,2026-06-14T05:48:19.924635
20,深蓝S05,10594,202606,ev,2026-06-14T05:48:19.924636
21,秦L,10019,202606,ev,2026-06-14T05:48:19.924637
22,宋Ultra,9961,202606,ev,2026-06-14T05:48:19.924638
23,海鸥,9822,202606,ev,2026-06-14T05:48:19.924640
24,AION i60,9471,202606,ev,2026-06-14T05:48:19.924641
25,问界M7,9199,202606,ev,2026-06-14T05:48:19.924642
26,极氪9X,9058,202606,ev,2026-06-14T05:48:19.924643
27,小米YU7,8736,202606,ev,2026-06-14T05:48:19.924644
28,QQ3 EV,8523,202606,ev,2026-06-14T05:48:19.924645
29,海豹06,8415,202606,ev,2026-06-14T05:48:19.924646
30,别克至境E7,7668,202606,ev,2026-06-14T05:48:19.924647
31,海狮05 DM-i,7519,202606,ev,2026-06-14T05:48:19.924648
32,极狐贝塔S3,7492,202606,ev,2026-06-14T05:48:19.924649
33,逸动,7304,202606,ev,2026-06-14T05:48:19.924650
34,零跑C10,7244,202606,ev,2026-06-14T05:48:19.924651
35,银河M7,7024,202606,ev,2026-06-14T05:48:19.924652
36,零跑D19,7021,202606,ev,2026-06-14T05:48:19.924653
37,奔驰C级,6839,202606,ev,2026-06-14T05:48:19.924654
38,铂智3X,6731,202606,ev,2026-06-14T05:48:19.924655
39,深蓝L06,6723,202606,ev,2026-06-14T05:48:19.924655
40,宝马5系,6491,202606,ev,2026-06-14T05:48:19.924656
41,海狮05 EV,6416,202606,ev,2026-06-14T05:48:19.924657
42,零跑C11,6375,202606,ev,2026-06-14T05:48:19.924658
43,奔腾小马,6334,202606,ev,2026-06-14T05:48:19.924661
44,海豹05 DM-i,6307,202606,ev,2026-06-14T05:48:19.924662
45,腾势D9,6145,202606,ev,2026-06-14T05:48:19.924663
46,极氪8X,6103,202606,ev,2026-06-14T05:48:19.924664
47,钛3,6086,202606,ev,2026-06-14T05:48:19.924665
48,长安启源A06,6019,202606,ev,2026-06-14T05:48:19.924665
49,乐道L80,5949,202606,ev,2026-06-14T05:48:19.924666
50,哈弗猛龙新能源,5856,202606,ev,2026-06-14T05:48:19.924667
